keyge,group,category,description
chem:c000061,environment,chemicals,c000061
chem:c000081,environment,chemicals,c000081
chem:c000090,environment,chemicals,c000090
chem:c000121,environment,chemicals,c000121
chem:c000152,environment,chemicals,c000152
chem:c000154,environment,chemicals,c000154
chem:c000188,environment,chemicals,c000188
chem:c000228,environment,chemicals,c000228
chem:c000380,environment,chemicals,c000380
chem:c000433,environment,chemicals,c000433
chem:c000470,environment,chemicals,c000470
chem:c000474,environment,chemicals,c000474
chem:c000475,environment,chemicals,c000475
chem:c000481,environment,chemicals,c000481
chem:c000482,environment,chemicals,c000482
chem:c000488,environment,chemicals,c000488
chem:c000499,environment,chemicals,c000499
chem:c000505,environment,chemicals,c000505
chem:c000511,environment,chemicals,c000511
chem:c000515,environment,chemicals,c000515
chem:c000516,environment,chemicals,c000516
chem:c000518,environment,chemicals,c000518
chem:c000536,environment,chemicals,c000536
chem:c000541,environment,chemicals,c000541
chem:c000543,environment,chemicals,c000543
chem:c000588486,environment,chemicals,c000588486
chem:c000588503,environment,chemicals,c000588503
chem:c000588556,environment,chemicals,c000588556
chem:c000588561,environment,chemicals,c000588561
chem:c000588582,environment,chemicals,c000588582
chem:c000588695,environment,chemicals,c000588695
chem:c000588741,environment,chemicals,c000588741
chem:c000588809,environment,chemicals,c000588809
chem:c000588914,environment,chemicals,c000588914
chem:c000588915,environment,chemicals,c000588915
chem:c000588918,environment,chemicals,c000588918
chem:c000588958,environment,chemicals,c000588958
chem:c000589029,environment,chemicals,c000589029
chem:c000589030,environment,chemicals,c000589030
chem:c000589147,environment,chemicals,c000589147
chem:c000589162,environment,chemicals,c000589162
chem:c000589248,environment,chemicals,c000589248
chem:c000589253,environment,chemicals,c000589253
chem:c000589285,environment,chemicals,c000589285
chem:c000589286,environment,chemicals,c000589286
chem:c000589288,environment,chemicals,c000589288
chem:c000589290,environment,chemicals,c000589290
chem:c000589490,environment,chemicals,c000589490
chem:c000589596,environment,chemicals,c000589596
chem:c000589651,environment,chemicals,c000589651
chem:c000589733,environment,chemicals,c000589733
chem:c000589977,environment,chemicals,c000589977
chem:c000590451,environment,chemicals,c000590451
chem:c000590659,environment,chemicals,c000590659
chem:c000590771,environment,chemicals,c000590771
chem:c000590786,environment,chemicals,c000590786
chem:c000590793,environment,chemicals,c000590793
