,AR
0,AR
3,EPHB2
5,MAX
7,MYC
14,FOS
15,KCNQ1
16,KCNQ2
18,KCNQ3
19,EPHX1
21,ABCB1
22,CYP2C19
25,CASP3
26,PPARG
27,SCD5
29,CASP8
30,AKT1
31,HIF1A
34,MAPK1
35,MAPK3
36,MAPK8
37,SLC2A1
38,VEGFA
39,GP1BA
41,GYPA
42,ITGA2B
44,ITGB3
46,TFEB
47,THPO
50,HAMP
53,CASP9
54,CDKN1A
55,CHEK1
60,TP53
62,ACHE
63,ACTA1
64,ALB
65,ATP5B
66,AZGP1
67,BCHE
68,CES1C
69,CTRB2
70,KIF3C
71,KRT1
72,SLC25A4
73,TF
74,TRF
75,ALDH1L2
76,CASP2
77,CASP6
80,BCL2
81,BCL2L1
83,DDIT3
84,MDM2
85,CYP2D6
88,CYP2C9
92,CYP3A4
95,NR1I2
98,UGT2B7
101,BAX
106,BID
125,CYCS
126,DIABLO
128,FADD
129,FAS
130,FASLG
131,PARP1
132,XIAP
136,NR3C1
137,CXCL8
138,IL1B
139,MAPK14
140,TNF
141,ABCC1
146,ALDH3A1
150,CAV1
151,CCND1
157,CHUK
158,EGFR
159,GSTA3
160,GSTA4
161,HMOX1
173,HOX1
176,HSPB1
181,ICAM1
183,IKBKB
187,MMP7
188,MMP9
193,NFKBIA
196,PLAU
198,PTGR1
205,PTGS2
207,RELA
216,CASP7
219,CLIC1
220,CLPP
221,CSF2
224,FLT3LG
227,IL3
230,KITLG
233,LAT2
240,PTEN
241,RPL23
242,RPL38
243,RPS6
244,SF3A1
246,BAD
247,CASP14
252,COX6A1
254,GADD45A
255,GADD45G
256,H2AX
257,MADD
258,MAP2K1
260,PDCD10
261,PDCD5
262,TNFSF10
263,TOP2A
265,ACE
266,AHR
272,AK1
273,AKAP9
274,AKR1C1
275,AKR1C2
276,AKR1C3
277,AKR1C4
279,ALDOA
280,ALDOC
281,ANKRD37
282,ANPEP
286,APP
289,AQP3
290,ASPA
291,ATF6
293,BDNF
294,BNIP3L
295,CA9
296,CAT
297,CD83
298,CD86
301,CFTR
303,CYP1A1
311,EGLN1
312,EGLN2
313,EGR1
314,ENO1
315,ENO2
316,ENPEP
317,ERCC2
318,GAPDH
319,GPX3
320,GSR
323,HBEGF
328,HIF3A
329,HILPDA
330,HK1
331,HK2
339,IGFBP5
340,IL1R1
