word1,word2,count,database_id,keyge1_id,keyge2_id,dataset_id,cword
#ncbi_taxid,best_described_by,1,15,,,9,9-0
#ncbi_taxid,cluster_id,1,15,,,9,9-1
#ncbi_taxid,cluster_size,1,15,,,9,9-2
-,a,1,15,,,9,9-3
-,action,1,15,,,9,9-4
-,activates,2,15,,,9,9-5
-,activation,1,15,,,9,9-6
-,activity,2,15,,,9,9-7
-,alveolar,1,15,,,9,9-8
-,ankyrins,1,15,,,9,9-9
-,atg1,1,15,,,9,9-10
-,atg8,1,15,,,9,9-11
-,autophagosome,2,15,,,9,9-12
-,autophagy,7,15,,,9,9-13
-,between,1,15,,,9,9-14
-,bicellular,1,15,,,9,9-15
-,biosynthesis,11,15,,,9,9-16
-,catabolic,1,15,,,9,9-17
-,causes,1,15,,,9,9-18
-,channel,4,15,,,9,9-19
-,channels,3,15,,,9,9-20
-,chondroitin,3,15,,,9,9-21
-,chst6,1,15,,,9,9-22
-,cl:12759,1,15,,,9,9-23
-,cl:18495,1,15,,,9,9-24
-,cl:18517,1,15,,,9,9-25
-,cl:21505,1,15,,,9,9-26
-,cl:21509,1,15,,,9,9-27
-,cl:21511,1,15,,,9,9-28
-,cl:23087,1,15,,,9,9-29
-,cl:23088,1,15,,,9,9-30
-,cl:23090,1,15,,,9,9-31
-,cl:23092,1,15,,,9,9-32
-,cl:23148,1,15,,,9,9-33
-,cl:23164,1,15,,,9,9-34
-,cl:23167,1,15,,,9,9-35
-,cl:23196,1,15,,,9,9-36
-,cl:27351,1,15,,,9,9-37
-,cl:27352,1,15,,,9,9-38
-,cl:27448,1,15,,,9,9-39
-,cl:27449,1,15,,,9,9-40
-,cl:27451,1,15,,,9,9-41
-,cl:27452,1,15,,,9,9-42
-,cl:27577,1,15,,,9,9-43
-,cl:27578,1,15,,,9,9-44
-,cl:27654,1,15,,,9,9-45
-,cl:27739,1,15,,,9,9-46
-,cl:27740,1,15,,,9,9-47
-,cl:5986,1,15,,,9,9-48
-,cl:5987,1,15,,,9,9-49
-,cl:5997,1,15,,,9,9-50
-,cl:6223,1,15,,,9,9-51
-,cl:6224,1,15,,,9,9-52
-,cl:6225,1,15,,,9,9-53
-,cl:9325,1,15,,,9,9-54
-,cl:9326,1,15,,,9,9-55
-,cl:9328,1,15,,,9,9-56
-,cl:9333,1,15,,,9,9-57
-,cl:9335,1,15,,,9,9-58
-,cl:9338,1,15,,,9,9-59
-,cl:9341,1,15,,,9,9-60
-,coactivator,1,15,,,9,9-61
-,complex,1,15,,,9,9-62
-,coronaviruses,6,15,,,9,9-63
-,d,1,15,,,9,9-64
-,defective,1,15,,,9,9-65
-,deficiency,2,15,,,9,9-66
-,dependent,1,15,,,9,9-67
-,depolarisation,4,15,,,9,9-68
-,dermatan,3,15,,,9,9-69
-,echinococcosis,1,15,,,9,9-70
-,expression,2,15,,,9,9-71
-,fast,1,15,,,9,9-72
-,ganglio,2,15,,,9,9-73
-,ganglioside,1,15,,,9,9-74
-,gated,2,15,,,9,9-75
-,gene,2,15,,,9,9-76
-,globo,1,15,,,9,9-77
-,glycosaminoglycan,3,15,,,9,9-78
