keyge,word
1-SF,1-SF
11-BETA-HSD3,11-BETA-HSD3
128UP,128UP
14-3-3EPSILON,14-3-3EPSILON
14-3-3ZETA,14-3-3ZETA
143B1,143B1
143B2,143B2
18W,18W
42SP43,42SP43
42SP50,42SP50
42SP50.L,42SP50.L
4R79.2,4R79.2
5-HT1B,5-HT1B
5-HT7,5-HT7
7B2,7B2
A10,A10
A1BG,A1BG
A1BG-AS1,A1BG-AS1
A1CF,A1CF
A2,A2
A26C2,A26C2
A2M,A2M
A2M-AS1,A2M-AS1
A2ML,A2ML
A2ML1,A2ML1
A2ML1.L,A2ML1.L
A2MP1,A2MP1
A3,A3
A3GALT2,A3GALT2
A4GALT,A4GALT
A4GNT,A4GNT
AAA1,AAA1
AAAS,AAAS
AACS,AACS
AACSP1,AACSP1
AADAC,AADAC
AADACL2,AADACL2
AADACL2FM2,AADACL2FM2
AADACL3,AADACL3
AADACL4,AADACL4
AADACL4FM3,AADACL4FM3
AADACL4FM4,AADACL4FM4
AADACP1,AADACP1
AADAT,AADAT
AAED1,AAED1
AAGAB,AAGAB
AAGR-1,AAGR-1
AAGR-2,AAGR-2
AAGR-3,AAGR-3
AAGR-4,AAGR-4
AAK-1,AAK-1
AAK-2,AAK-2
AAK1,AAK1
AAK1A,AAK1A
AAK1B,AAK1B
AAKG-2,AAKG-2
AAKG-4,AAKG-4
AAMDC,AAMDC
AAMP,AAMP
AANAT,AANAT
AANAT1,AANAT1
AANAT2,AANAT2
AAP-1,AAP-1
AAR2,AAR2
AARD,AARD
AARS,AARS
AARS1,AARS1
AARS2,AARS2
AARSD1,AARSD1
AASDH,AASDH
AASDHPPT,AASDHPPT
AASS,AASS
AASS.L,AASS.L
AAT-1,AAT-1
AAT-3,AAT-3
AAT-4,AAT-4
AAT-8,AAT-8
AAT1,AAT1
AATBC,AATBC
AATF,AATF
AATK,AATK
AATKB,AATKB
AAY,AAY
AB,AB
AB010352,AB010352
AB124611,AB124611
AB14B,AB14B
ABALON,ABALON
ABAT,ABAT
ABAT.L,ABAT.L
ABB,ABB
ABCA1,ABCA1
ABCA10,ABCA10
ABCA11P,ABCA11P
ABCA12,ABCA12
ABCA13,ABCA13
ABCA14,ABCA14
ABCA15,ABCA15
ABCA16,ABCA16
ABCA17,ABCA17
ABCA17P,ABCA17P
ABCA1A,ABCA1A
ABCA1B,ABCA1B
ABCA2,ABCA2
ABCA3,ABCA3
ABCA3B,ABCA3B
ABCA4,ABCA4
ABCA4A,ABCA4A
ABCA4B,ABCA4B
ABCA5,ABCA5
ABCA6,ABCA6
ABCA7,ABCA7
ABCA8,ABCA8
ABCA8A,ABCA8A
ABCA8B,ABCA8B
ABCA9,ABCA9
ABCB1,ABCB1
ABCB10,ABCB10
ABCB11,ABCB11
ABCB11A,ABCB11A
ABCB11B,ABCB11B
ABCB1A,ABCB1A
ABCB1B,ABCB1B
ABCB1LA,ABCB1LA
ABCB4,ABCB4
ABCB5,ABCB5
ABCB6,ABCB6
ABCB6A,ABCB6A
ABCB6B,ABCB6B
ABCB7,ABCB7
ABCB8,ABCB8
ABCB9,ABCB9
ABCC1,ABCC1
ABCC10,ABCC10
ABCC11,ABCC11
ABCC12,ABCC12
ABCC13,ABCC13
ABCC2,ABCC2
ABCC3,ABCC3
ABCC4,ABCC4
ABCC5,ABCC5
ABCC6,ABCC6
ABCC6A,ABCC6A
ABCC6B.1,ABCC6B.1
ABCC6B.2,ABCC6B.2
ABCC6P1,ABCC6P1
