keyge,group,category,description
gene:1,genomic,gene,gene:1
gene:10,genomic,gene,gene:10
gene:100,genomic,gene,gene:100
gene:1000,genomic,gene,gene:1000
gene:10000,genomic,gene,gene:10000
gene:100000009,genomic,gene,gene:100000009
gene:100000036,genomic,gene,gene:100000036
gene:100000044,genomic,gene,gene:100000044
gene:100000079,genomic,gene,gene:100000079
gene:100000095,genomic,gene,gene:100000095
gene:100000097,genomic,gene,gene:100000097
gene:100000148,genomic,gene,gene:100000148
gene:100000175,genomic,gene,gene:100000175
gene:100000252,genomic,gene,gene:100000252
gene:100000256,genomic,gene,gene:100000256
gene:100000271,genomic,gene,gene:100000271
gene:100000303,genomic,gene,gene:100000303
gene:100000325,genomic,gene,gene:100000325
gene:100000342,genomic,gene,gene:100000342
gene:100000353,genomic,gene,gene:100000353
gene:100000387,genomic,gene,gene:100000387
gene:100000463,genomic,gene,gene:100000463
gene:100000479,genomic,gene,gene:100000479
gene:100000492,genomic,gene,gene:100000492
gene:100000558,genomic,gene,gene:100000558
gene:100000576,genomic,gene,gene:100000576
gene:100000577,genomic,gene,gene:100000577
gene:100000597,genomic,gene,gene:100000597
gene:100000656,genomic,gene,gene:100000656
gene:100000665,genomic,gene,gene:100000665
gene:100000675,genomic,gene,gene:100000675
gene:100000684,genomic,gene,gene:100000684
gene:100000688,genomic,gene,gene:100000688
gene:100000724,genomic,gene,gene:100000724
gene:100000736,genomic,gene,gene:100000736
gene:100000750,genomic,gene,gene:100000750
gene:100000764,genomic,gene,gene:100000764
gene:100000771,genomic,gene,gene:100000771
gene:100000775,genomic,gene,gene:100000775
gene:100000787,genomic,gene,gene:100000787
gene:100000797,genomic,gene,gene:100000797
gene:100000814,genomic,gene,gene:100000814
gene:100000844,genomic,gene,gene:100000844
gene:100000862,genomic,gene,gene:100000862
gene:100000898,genomic,gene,gene:100000898
gene:100000956,genomic,gene,gene:100000956
gene:100000981,genomic,gene,gene:100000981
gene:100000986,genomic,gene,gene:100000986
gene:100001008,genomic,gene,gene:100001008
gene:100001065,genomic,gene,gene:100001065
gene:100001105,genomic,gene,gene:100001105
gene:100001110,genomic,gene,gene:100001110
gene:100001113,genomic,gene,gene:100001113
gene:100001116,genomic,gene,gene:100001116
gene:100001129,genomic,gene,gene:100001129
gene:100001138,genomic,gene,gene:100001138
gene:100001168,genomic,gene,gene:100001168
gene:100001171,genomic,gene,gene:100001171
gene:100001188,genomic,gene,gene:100001188
gene:100001241,genomic,gene,gene:100001241
gene:100001260,genomic,gene,gene:100001260
gene:100001285,genomic,gene,gene:100001285
gene:100001293,genomic,gene,gene:100001293
gene:100001337,genomic,gene,gene:100001337
gene:100001416,genomic,gene,gene:100001416
gene:100001417,genomic,gene,gene:100001417
gene:100001424,genomic,gene,gene:100001424
gene:100001426,genomic,gene,gene:100001426
gene:100001503,genomic,gene,gene:100001503
gene:100001552,genomic,gene,gene:100001552
gene:100001586,genomic,gene,gene:100001586
gene:100001603,genomic,gene,gene:100001603
gene:100001636,genomic,gene,gene:100001636
gene:100001644,genomic,gene,gene:100001644
gene:100001684,genomic,gene,gene:100001684
gene:100001725,genomic,gene,gene:100001725
gene:100001739,genomic,gene,gene:100001739
gene:100001772,genomic,gene,gene:100001772
gene:100001810,genomic,gene,gene:100001810
gene:100001828,genomic,gene,gene:100001828
gene:100001836,genomic,gene,gene:100001836
gene:100001838,genomic,gene,gene:100001838
gene:100001853,genomic,gene,gene:100001853
gene:100001900,genomic,gene,gene:100001900
gene:100001936,genomic,gene,gene:100001936
gene:100001978,genomic,gene,gene:100001978
gene:100001998,genomic,gene,gene:100001998
gene:100002007,genomic,gene,gene:100002007
gene:100002040,genomic,gene,gene:100002040
gene:100002070,genomic,gene,gene:100002070
gene:100002104,genomic,gene,gene:100002104
gene:100002110,genomic,gene,gene:100002110
gene:100002136,genomic,gene,gene:100002136
gene:100002138,genomic,gene,gene:100002138
gene:100002155,genomic,gene,gene:100002155
gene:100002189,genomic,gene,gene:100002189
gene:100002201,genomic,gene,gene:100002201
gene:100002268,genomic,gene,gene:100002268
gene:100002269,genomic,gene,gene:100002269
gene:100002272,genomic,gene,gene:100002272
gene:100002334,genomic,gene,gene:100002334
gene:100002364,genomic,gene,gene:100002364
gene:100002400,genomic,gene,gene:100002400
gene:100002407,genomic,gene,gene:100002407
gene:100002445,genomic,gene,gene:100002445
gene:100002448,genomic,gene,gene:100002448
gene:100002454,genomic,gene,gene:100002454
gene:100002460,genomic,gene,gene:100002460
gene:100002479,genomic,gene,gene:100002479
gene:100002494,genomic,gene,gene:100002494
gene:100002495,genomic,gene,gene:100002495
gene:100002502,genomic,gene,gene:100002502
gene:100002505,genomic,gene,gene:100002505
gene:100002513,genomic,gene,gene:100002513
gene:100002545,genomic,gene,gene:100002545
gene:100002565,genomic,gene,gene:100002565
gene:100002647,genomic,gene,gene:100002647
gene:100002649,genomic,gene,gene:100002649
gene:100002679,genomic,gene,gene:100002679
gene:100002680,genomic,gene,gene:100002680
gene:100002689,genomic,gene,gene:100002689
gene:100002710,genomic,gene,gene:100002710
gene:100002715,genomic,gene,gene:100002715
gene:100002737,genomic,gene,gene:100002737
gene:100002785,genomic,gene,gene:100002785
gene:100002791,genomic,gene,gene:100002791
gene:100002795,genomic,gene,gene:100002795
gene:100002802,genomic,gene,gene:100002802
gene:100002838,genomic,gene,gene:100002838
gene:100002865,genomic,gene,gene:100002865
gene:100002875,genomic,gene,gene:100002875
gene:100002878,genomic,gene,gene:100002878
gene:100002917,genomic,gene,gene:100002917
gene:100002919,genomic,gene,gene:100002919
gene:100002938,genomic,gene,gene:100002938
gene:100002946,genomic,gene,gene:100002946
gene:100002993,genomic,gene,gene:100002993
gene:100003026,genomic,gene,gene:100003026
gene:100003036,genomic,gene,gene:100003036
